x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
550480.5,4672167.5,17.77,11.79,159,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0505,0.1759,0.7736
550607.5,4672307.5,17.47,12.45,301,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.0112,0.8042,0.1847
550586.5,4672227.5,17.69,12.91,413,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.2848,0.0999,0.6153
550713.5,4672254.5,17.82,12.33,386,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.0663,0.8205,0.1132
550769.5,4672503.5,18.02,13.41,267,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.2187,0.162,0.6193
550232.5,4672707.5,17.69,12.56,448,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.251,0.5886,0.1604
550537.5,4672243.5,18.45,12.76,89,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.2258,0.559,0.2152
550628.5,4672780.5,17.18,11.63,609,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.065,0.9273,0.0077
550017.5,4672743.5,17.17,14.36,80,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.1876,0.4003,0.4121
550631.5,4672304.5,16.88,13.47,153,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0516,0.3233,0.625
550627.5,4672301.5,16.8,12.78,248,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0292,0.1358,0.8349
550593.5,4672284.5,16.86,13.97,54,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0976,0.2421,0.6603
550031.5,4672738.5,16.85,12.72,100,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.1336,0.047,0.8194
