x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
525589.5,4689367.5,15.09,11.78,67,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3226,0.4127,0.2647
525647.5,4689036.5,15.36,10.04,178,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.3395,0.5672,0.0933
525320.5,4689313.5,15.18,11.41,108,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.6502,0.1951,0.1546
525317.5,4689320.5,15.38,9.47,173,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4663,0.3124,0.2213
525512.5,4689211.5,14.17,9.95,111,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4811,0.3331,0.1857
525452.5,4689542.5,15.05,10.95,50,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.5282,0.3199,0.1519
525306.5,4689332.5,14.28,10.39,113,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2801,0.4703,0.2496
525051.5,4689033.5,13.98,9.53,322,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2925,0.2821,0.4254
525327.5,4689309.5,13.74,8.94,162,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.0905,0.7514,0.1581
525303.5,4689336.5,14.45,10.0,115,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4124,0.1721,0.4155
525526.5,4689202.5,13.91,10.54,68,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.0804,0.523,0.3966
525169.5,4689412.5,13.51,10.06,143,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.5807,0.1441,0.2752
525306.5,4689327.5,13.09,9.42,139,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.3448,0.243,0.4122
525621.5,4689399.5,13.27,9.96,75,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.1038,0.0742,0.822
525818.5,4689006.5,13.53,9.18,106,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.2382,0.6863,0.0755
525525.5,4689207.5,13.31,10.09,144,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2868,0.4183,0.2949
525583.5,4689134.5,13.27,8.47,232,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1652,0.5085,0.3263
525603.5,4689206.5,13.43,9.16,146,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.0743,0.1655,0.7602
525630.5,4689024.5,12.85,10.57,101,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2489,0.4886,0.2625
525282.5,4689380.5,13.24,9.14,190,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.7448,0.0973,0.1579
525534.5,4689198.5,12.75,9.44,94,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.1228,0.4513,0.426
525755.5,4689021.5,12.9,8.51,133,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1183,0.6444,0.2373
525429.5,4689232.5,12.64,9.38,124,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.5351,0.3649,0.1001
525278.5,4689455.5,14.01,9.32,175,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.519,0.2161,0.2648
525629.5,4689015.5,12.7,9.6,86,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.1811,0.3663,0.4526
525025.5,4689444.5,11.79,9.47,228,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1521,0.7839,0.064
525292.5,4689369.5,13.1,8.37,103,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4074,0.2368,0.3557
525692.5,4689011.5,11.96,9.31,73,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.1309,0.3848,0.4842
525337.5,4689283.5,12.86,8.26,164,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2004,0.3825,0.4171
525009.5,4689159.5,12.26,8.88,79,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.381,0.2616,0.3574
525331.5,4689290.5,11.81,8.44,131,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2351,0.3173,0.4476
525393.5,4689238.5,11.62,9.36,115,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2532,0.4766,0.2702
525013.5,4689178.5,11.37,8.85,173,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.48,0.1662,0.3537
