puesto,concello,parroquia,ha_medida,ha_arbolado,ha_sobre_35m,ha_prohibida_min,ha_prohibida_max,ha_prohibida_punto_medio
358,Baiona,Santa Cristina da Ramallosa (Santa Cristina),25.364,9.903,0.234,4.4,7.9,6.2
359,A Estrada,Santo André de Vea (Santo André),90.839,13.302,0.347,3.3,9.2,6.2
360,Cuntis,Cequeril (Santa María),47.597,15.536,0.031,3.7,8.8,6.2
361,Ponte Caldelas,Xustáns (San Martiño),64.742,14.702,0.236,4.1,8.4,6.2
362,Covelo,Paraños (Santa María),39.938,13.521,0.038,3.3,8.8,6.1
363,Lalín,Castro de Cabras (San Pedro),80.655,14.358,0.0,3.3,8.9,6.1
364,Cerdedo,Quireza (San Tomé),56.211,14.243,0.03,5.0,7.2,6.1
365,Baiona,Baiona (Santa María),19.255,7.698,0.004,5.4,6.7,6.1
366,Lalín,Prado (San Martiño),47.481,15.969,0.017,3.5,8.6,6.0
367,Cotobade,Loureiro (Santiago),40.427,24.577,0.23,4.0,7.9,6.0
368,As Neves,Batalláns (Santa Eulalia),41.761,17.027,0.392,4.1,7.9,6.0
369,Cambados,Vilariño (Santo Adrián),179.067,12.901,0.107,2.6,9.5,6.0
