concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
Tomiño,Tebra (Santa María),49.097,18.876,13.469,11.699,5.407,15.605,38.45,23.83,31.78
Mondariz,Meirol (Santo André),42.296,22.387,15.863,11.669,6.524,16.382,52.93,27.59,38.73
Silleda,Silleda (Santa Baia),150.387,48.642,28.754,11.659,19.888,26.026,32.34,7.75,17.31
Meaño,Dena (Santa Eulalia),172.497,25.978,12.426,11.567,13.551,21.356,15.06,6.71,12.38
As Neves,Vide (Santa María),64.85,21.904,16.354,11.555,5.55,15.564,33.78,17.82,24.0
Salvaterra de Miño,Porto (San Paulo),53.946,16.483,13.305,11.537,3.178,13.832,30.55,21.39,25.64
Tui,Caldelas de Tui (San Martiño),59.338,20.695,13.188,11.532,7.507,16.955,34.88,19.43,28.57
Poio,Samieira (Santa María),56.006,21.686,15.953,11.5,5.733,15.642,38.72,20.53,27.93
Lalín,Losón (Santa Baia),95.485,21.649,14.441,11.25,7.208,16.456,22.67,11.78,17.23
Meis,San Lourenzo de Nogueira (San Lourenzo),54.06,17.212,11.631,11.234,5.581,15.266,31.84,20.78,28.24
As Neves,San Cibrán de Ribarteme (San Cibrán),46.32,16.846,13.027,11.233,3.819,13.992,36.37,24.25,30.21
A Estrada,Moreira (San Miguel),105.713,26.833,18.203,11.227,8.63,17.462,25.38,10.62,16.52
Fornelos de Montes,Fornelos de Montes (San Lourenzo),83.808,35.941,22.375,11.211,13.566,21.011,42.88,13.38,25.07
A Estrada,San Xurxo de Vea (San Xurxo),100.724,23.832,13.946,11.151,9.886,18.293,23.66,11.07,18.16
Ponteareas,Prado (San Nicolao),39.868,17.089,12.881,11.115,4.208,14.155,42.86,27.88,35.5
As Neves,Rubiós (San Xoán),65.426,19.341,11.911,11.099,7.43,16.467,29.56,16.96,25.17
Crecente,Angudes (San Xoán),22.851,16.902,14.135,11.064,2.767,13.062,73.97,48.42,57.16
Moraña,Lamas (Santa Cruz),52.645,20.175,13.72,10.922,6.455,15.586,38.32,20.75,29.6
Baiona,Belesar (San Lourenzo),65.849,18.979,12.205,10.919,6.774,15.812,28.82,16.58,24.01
A Estrada,Oca (Santo Estevo),80.756,24.447,14.486,10.862,9.962,18.059,30.27,13.45,22.36
Sanxenxo,Vilalonga (San Pedro),137.177,23.091,11.457,10.844,11.633,19.248,16.83,7.91,14.03
Meis,San Tomé de Nogueira (San Tomé),42.847,15.325,10.842,10.842,4.483,14.08,35.77,25.3,32.86
Nigrán,Camos (Santa Baia),79.079,23.117,13.079,10.769,10.038,18.02,29.23,13.62,22.79
A Estrada,Vinseiro (Santa Cristina),72.181,23.872,14.354,10.732,9.518,17.608,33.07,14.87,24.39
Mos,Dornelas (Santa María),58.823,18.538,12.424,10.718,6.115,15.135,31.52,18.22,25.73
Salvaterra de Miño,Corzáns (San Miguel),44.385,21.421,14.861,10.669,6.561,15.409,48.26,24.04,34.72
Cangas,Coiro (San Salvador),150.624,44.283,16.17,10.632,28.114,30.941,29.4,7.06,20.54
Poio,Raxó (San Gregorio),28.321,13.335,10.555,10.555,2.78,12.564,47.09,37.27,44.36
Sanxenxo,Bordóns (San Pedro),53.46,15.29,10.815,10.513,4.475,13.745,28.6,19.66,25.71
Nigrán,Priegue (San Mamede),73.86,21.996,11.702,10.489,10.294,17.925,29.78,14.2,24.27
Tui,Pazos de Reis (O Sagrario),42.751,16.62,12.414,10.481,4.206,13.52,38.88,24.52,31.62
Gondomar,Couso (San Cristovo),41.222,13.83,10.461,10.461,3.369,12.895,33.55,25.38,31.28
Gondomar,Gondomar (San Bieito),67.146,19.004,12.352,10.435,6.652,15.241,28.3,15.54,22.7
Nigrán,Nigrán (San Fiz),89.548,28.212,12.569,10.421,15.643,21.721,31.5,11.64,24.26
Caldas de Reis,Caldas de Reis (Santa María),62.634,17.217,11.746,10.228,5.47,14.18,27.49,16.33,22.64
Crecente,O Freixo (San Roque),24.715,16.292,14.084,10.214,2.208,11.809,65.92,41.33,47.78
Tomiño,Vilameán (San Bieito),31.968,13.569,10.795,10.131,2.774,12.135,42.45,31.69,37.96
Tui,Paramos (San Xoán),44.648,18.201,12.234,10.13,5.967,14.441,40.77,22.69,32.34
A Estrada,Ribeira (Santa Mariña),74.76,23.674,14.485,10.112,9.189,16.75,31.67,13.53,22.41
Ribadumia,Lois (San Fins),76.798,17.167,10.864,10.101,6.304,14.655,22.35,13.15,19.08
Caldas de Reis,Arcos da Condesa (Santa Mariña),82.376,23.032,12.015,10.084,11.017,18.043,27.96,12.24,21.9
O Rosal,As Eiras (San Bartolomeu),27.745,12.742,10.089,10.016,2.653,11.932,45.93,36.1,43.01
