nw_x,nw_y,ha_illadas,ha_nucleos,ha_faixa,NOMECONCEL,PARROQUIA,n_parroquias,bloque
550,4707,0.0,2.1268624138115,2.1268624138115,Cerdedo,Cerdedo (San Xoán),1,PNOA-2024-GAL-550-4707-H29-NPC01.LAZ
509,4659,0.0,2.1215732031805055,2.1215732031805055,Oia,Mougás (Santa Uxía),1,PNOA-2024-GAL-509-4659-H29-NPC01.LAZ
569,4715,1.24752834678908,0.873923417464619,2.121451764253699,Lalín,Lebozán (Santiago),1,PNOA-2024-GAL-569-4715-H29-NPC01.LAZ
520,4644,0.0,2.1190154714376765,2.1190154714376765,Tomiño,Goián (San Cristovo),1,PNOA-2024-GAL-520-4644-H29-NPC01.LAZ
511,4664,0.0,2.114596500869569,2.114596500869569,Baiona,Baiona (Santa María),1,PNOA-2024-GAL-511-4664-H29-NPC01.LAZ
566,4713,2.0855753967975046,0.02506884469300547,2.11064424149051,Lalín,Zobra (Santa Mariña),1,PNOA-2024-GAL-566-4713-H29-NPC01.LAZ
533,4733,0.9951346401443573,1.1000886431542953,2.095223283298653,A Estrada,San Miguel de Barcala (San Miguel),1,PNOA-2024-GAL-533-4733-H29-NPC01.LAZ
576,4744,0.0,2.093262416509671,2.093262416509671,Agolada,O Sexo (Santiago),1,PNOA-2024-GAL-576-4744-H29-NPC01.LAZ
527,4682,1.6891321930475245,0.3942397178626117,2.0833719109101363,Redondela,Trasmañó (San Vicente),1,PNOA-2024-GAL-527-4682-H29-NPC01.LAZ
555,4684,2.08173488995973,0.0,2.08173488995973,Covelo,Campo (Santa María),1,PNOA-2024-GAL-555-4684-H29-NPC01.LAZ
513,4651,0.0,2.079552134675678,2.079552134675678,Oia,Burgueira (San Pedro),1,PNOA-2024-GAL-513-4651-H29-NPC01.LAZ
537,4722,0.0,2.0769397786784114,2.0769397786784114,Cuntis,Cuntis (Santa María),1,PNOA-2024-GAL-537-4722-H29-NPC01.LAZ
515,4651,0.0,2.0759435963640294,2.0759435963640294,Oia,Burgueira (San Pedro),1,PNOA-2024-GAL-515-4651-H29-NPC01.LAZ
542,4723,0.0,2.0749383647088964,2.0749383647088964,A Estrada,A Somoza (Santo André),1,PNOA-2024-GAL-542-4723-H29-NPC01.LAZ
540,4685,0.0,2.064580821782025,2.064580821782025,Pazos de Borbén,Moscoso (San Paio),1,PNOA-2024-GAL-540-4685-H29-NPC01.LAZ
559,4735,0.44589818755930866,1.6149064147937373,2.0608046023530457,Silleda,Pazos (San Martiño),1,PNOA-2024-GAL-559-4735-H29-NPC01.LAZ
581,4738,0.0,2.0568879438103305,2.0568879438103305,Agolada,Borraxeiros (San Cristovo),1,PNOA-2024-GAL-581-4738-H29-NPC01.LAZ
573,4729,1.615072023829519,0.4234237455295339,2.038495769359053,Lalín,O Cello (San Martiño),1,PNOA-2024-GAL-573-4729-H29-NPC01.LAZ
520,4685,0.0,2.028651344994212,2.028651344994212,Moaña,Moaña (San Martiño),1,PNOA-2024-GAL-520-4685-H29-NPC01.LAZ
560,4727,0.0,2.028379728829522,2.028379728829522,Silleda,Silleda (Santa Baia),1,PNOA-2024-GAL-560-4727-H29-NPC01.LAZ
522,4689,0.0,2.0263945046249154,2.0263945046249154,Marín,San Tomé de Piñeiro (San Tomé),2,PNOA-2024-GAL-522-4689-H29-NPC01.LAZ
566,4715,2.0214447374554148,0.0,2.0214447374554148,Lalín,Zobra (Santa Mariña),1,PNOA-2024-GAL-566-4715-H29-NPC01.LAZ
